Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	12.0  	1     	202   	100.0%
topic1 	14.0  	1     	133   	100.0%
topic10	16.0  	1     	163   	100.0%
topic11	15.0  	1     	164   	100.0%
topic12	17.0  	1     	180   	100.0%
topic13	18.0  	1     	165   	100.0%
topic14	18.0  	1     	189   	100.0%
topic15	17.0  	1     	204   	100.0%
topic16	16.0  	1     	187   	100.0%
topic17	17.0  	1     	202   	100.0%
topic18	17.0  	1     	203   	100.0%
topic19	16.0  	1     	228   	100.0%
topic2 	15.0  	1     	133   	100.0%
topic20	14.0  	1     	208   	100.0%
topic21	13.0  	1     	214   	100.0%
topic22	13.0  	1     	227   	100.0%
topic23	13.0  	1     	132   	100.0%
topic24	11.0  	1     	111   	100.0%
topic25	11.0  	0     	155   	100.0%
topic26	13.0  	1     	255   	100.0%
topic27	13.0  	1     	253   	100.0%
topic28	13.0  	1     	167   	100.0%
topic29	14.0  	1     	225   	100.0%
topic3 	16.0  	1     	132   	100.0%
topic30	18.0  	1     	189   	100.0%
topic31	22.0  	1     	163   	100.0%
topic32	18.0  	1     	134   	100.0%
topic33	20.0  	1     	147   	100.0%
topic34	24.0  	1     	172   	100.0%
topic35	23.0  	1     	228   	100.0%
topic36	24.0  	1     	233   	100.0%
topic37	24.0  	1     	245   	100.0%
topic38	25.0  	1     	299   	100.0%
topic39	23.0  	1     	245   	100.0%
topic4 	13.0  	1     	85    	100.0%
topic40	19.0  	1     	257   	100.0%
topic41	19.0  	1     	259   	100.0%
topic42	20.0  	1     	295   	100.0%
topic43	20.0  	0     	150   	100.0%
topic44	22.0  	1     	192   	100.0%
topic45	13.0  	1     	198   	100.0%
topic46	13.0  	1     	200   	100.0%
topic47	16.0  	1     	256   	100.0%
topic48	17.0  	1     	307   	100.0%
topic49	18.0  	1     	288   	100.0%
topic5 	14.0  	1     	96    	100.0%
topic6 	5.0   	1     	81    	100.0%
topic7 	7.0   	1     	82    	100.0%
topic8 	8.0   	1     	119   	100.0%
topic9 	9.0   	1     	202   	100.0%
Total Avg delay: 16.12 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	15.0  	0     	176   	100.0%
topic1 	15.0  	1     	171   	100.0%
topic10	16.0  	1     	201   	100.0%
topic11	16.0  	1     	282   	100.0%
topic12	15.0  	1     	134   	100.0%
topic13	15.0  	1     	186   	100.0%
topic14	14.0  	1     	242   	100.0%
topic15	14.0  	1     	191   	100.0%
topic16	15.0  	1     	209   	100.0%
topic17	16.0  	0     	225   	100.0%
topic18	16.0  	1     	194   	100.0%
topic19	14.0  	1     	215   	100.0%
topic2 	18.0  	1     	184   	100.0%
topic20	21.0  	1     	189   	100.0%
topic21	18.0  	1     	114   	100.0%
topic22	18.0  	1     	142   	100.0%
topic23	19.0  	1     	87    	100.0%
topic24	20.0  	1     	94    	100.0%
topic25	20.0  	1     	116   	100.0%
topic26	11.0  	1     	88    	100.0%
topic27	12.0  	1     	136   	100.0%
topic28	15.0  	0     	209   	100.0%
topic29	13.0  	1     	184   	100.0%
topic3 	20.0  	1     	200   	100.0%
topic30	11.0  	1     	107   	100.0%
topic31	11.0  	1     	105   	100.0%
topic32	10.0  	1     	80    	100.0%
topic33	12.0  	1     	99    	100.0%
topic34	12.0  	1     	104   	100.0%
topic35	11.0  	0     	104   	100.0%
topic36	10.0  	0     	89    	100.0%
topic37	10.0  	1     	94    	100.0%
topic38	11.0  	1     	85    	100.0%
topic39	12.0  	0     	121   	100.0%
topic4 	15.0  	1     	118   	100.0%
topic40	21.0  	1     	213   	100.0%
topic41	17.0  	1     	143   	100.0%
topic42	17.0  	1     	163   	100.0%
topic43	18.0  	1     	167   	100.0%
topic44	16.0  	1     	165   	100.0%
topic45	23.0  	1     	215   	100.0%
topic46	21.0  	1     	193   	100.0%
topic47	18.0  	1     	194   	100.0%
topic48	17.0  	1     	158   	100.0%
topic49	20.0  	1     	198   	100.0%
topic5 	17.0  	1     	141   	100.0%
topic6 	18.0  	1     	160   	100.0%
topic7 	17.0  	1     	176   	100.0%
topic8 	16.0  	1     	170   	100.0%
topic9 	15.0  	1     	171   	100.0%
Total Avg delay: 15.64 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	7.0   	1     	50    	100.0%
topic1 	8.0   	1     	72    	100.0%
topic10	6.0   	0     	91    	100.0%
topic11	8.0   	1     	87    	100.0%
topic12	10.0  	1     	60    	100.0%
topic13	15.0  	1     	78    	100.0%
topic14	17.0  	1     	68    	100.0%
topic15	19.0  	1     	110   	100.0%
topic16	19.0  	1     	104   	100.0%
topic17	21.0  	1     	127   	100.0%
topic18	24.0  	1     	126   	100.0%
topic19	4.0   	0     	85    	100.0%
topic2 	8.0   	1     	77    	100.0%
topic20	11.0  	1     	217   	100.0%
topic21	11.0  	0     	110   	100.0%
topic22	9.0   	1     	91    	100.0%
topic23	11.0  	1     	155   	100.0%
topic24	15.0  	1     	303   	100.0%
topic25	12.0  	1     	190   	100.0%
