Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic13	1893.0	511   	7776  	100.0%
topic17	1904.0	481   	7777  	100.0%
topic20	1877.0	492   	7768  	100.0%
topic14	1914.0	511   	7773  	100.0%
topic19	1891.0	465   	7770  	100.0%
topic15	1909.0	489   	7769  	100.0%
topic16	1919.0	488   	7777  	100.0%
topic18	1894.0	510   	7769  	100.0%
topic3 	1910.0	511   	7666  	100.0%
topic5 	1898.0	501   	7994  	100.0%
topic9 	1918.0	518   	8010  	100.0%
topic7 	1919.0	471   	8006  	100.0%
topic6 	1908.0	471   	8013  	100.0%
topic10	1914.0	475   	7993  	100.0%
topic1 	1918.0	479   	7881  	100.0%
topic2 	1930.0	487   	7874  	100.0%
topic8 	1914.0	466   	7893  	100.0%
topic11	1904.0	468   	7896  	100.0%
topic4 	1910.0	481   	7896  	100.0%
topic12	1910.0	487   	7873  	100.0%
topic28	1880.0	468   	7748  	100.0%
topic21	1895.0	467   	7746  	100.0%
topic22	1901.0	468   	7731  	100.0%
topic26	1786.0	467   	7742  	97.9% 
topic23	1901.0	464   	7740  	100.0%
topic24	1740.0	471   	7872  	97.7% 
topic27	1910.0	464   	8070  	100.0%
topic25	1902.0	467   	8129  	100.0%
topic29	1890.0	490   	8009  	100.0%
topic33	1924.0	512   	7990  	100.0%
topic35	1911.0	493   	7975  	100.0%
topic40	1815.0	495   	7974  	100.0%
topic30	1914.0	507   	7941  	100.0%
topic31	1882.0	507   	7942  	100.0%
topic32	1897.0	511   	7995  	100.0%
topic34	1903.0	504   	7972  	100.0%
topic37	1913.0	527   	7974  	100.0%
topic38	1920.0	490   	7929  	100.0%
topic36	1928.0	486   	7944  	100.0%
topic39	1913.0	533   	7955  	100.0%
topic45	1900.0	504   	8049  	100.0%
topic46	1904.0	476   	8503  	100.0%
topic51	1932.0	460   	8481  	100.0%
topic52	1918.0	454   	8539  	100.0%
topic53	1938.0	483   	8518  	100.0%
topic54	1931.0	478   	8479  	100.0%
topic56	1947.0	481   	8543  	100.0%
topic57	1765.0	479   	8533  	100.0%
topic47	1778.0	454   	8254  	100.0%
topic48	1951.0	505   	8252  	100.0%
topic49	1938.0	525   	8251  	100.0%
topic50	1932.0	489   	8255  	100.0%
topic55	1946.0	506   	8254  	100.0%
topic59	1983.0	473   	8260  	100.0%
topic58	1941.0	501   	8618  	100.0%
topic42	1934.0	476   	8435  	100.0%
topic43	1939.0	532   	8439  	100.0%
topic41	1948.0	478   	8425  	100.0%
topic44	1926.0	482   	8423  	100.0%
topic60	1932.0	472   	8425  	100.0%
topic61	1888.0	499   	8069  	100.0%
topic69	1913.0	503   	8485  	100.0%
topic68	1902.0	489   	8547  	100.0%
topic72	1923.0	509   	8485  	100.0%
topic74	1924.0	495   	8493  	100.0%
topic70	1939.0	516   	8277  	100.0%
topic71	1959.0	504   	8266  	100.0%
topic73	1915.0	538   	8512  	100.0%
topic75	1926.0	473   	8480  	100.0%
topic63	1954.0	469   	8382  	100.0%
topic65	1919.0	467   	8439  	100.0%
topic62	1938.0	464   	8435  	100.0%
topic67	1968.0	475   	8428  	100.0%
topic78	1960.0	481   	8430  	100.0%
topic76	1963.0	474   	8436  	100.0%
topic77	1959.0	480   	8434  	100.0%
topic79	1790.0	474   	8437  	100.0%
topic80	1963.0	522   	8440  	100.0%
topic66	1969.0	489   	8433  	100.0%
topic64	1944.0	512   	8443  	100.0%
topic91	1912.0	504   	8064  	100.0%
topic92	1845.0	467   	8512  	100.0%
topic95	1927.0	518   	8552  	100.0%
topic90	1962.0	489   	8257  	100.0%
topic93	1966.0	515   	8259  	100.0%
topic96	1898.0	461   	8258  	100.0%
topic97	1945.0	486   	8255  	100.0%
topic94	1780.0	460   	8257  	100.0%
topic88	1944.0	491   	8384  	100.0%
topic86	1954.0	486   	8434  	100.0%
topic89	1914.0	479   	8438  	100.0%
topic82	1957.0	480   	8442  	100.0%
topic98	1956.0	481   	8452  	100.0%
topic81	1949.0	494   	8436  	100.0%
topic99	1928.0	467   	8450  	100.0%
topic84	1950.0	548   	8450  	100.0%
topic83	1954.0	489   	8434  	100.0%
topic87	1982.0	501   	8450  	100.0%
topic85	1812.0	497   	8445  	100.0%
topic100	1970.0	471   	8447  	100.0%
Total Msgs received: 99956 packets
Packet Received:  99.96%
Total Avg delay: 1913.83 ms
