Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	2.0   	1     	4     	100.0%
topic1 	1.0   	0     	3     	100.0%
topic10	1.0   	1     	2     	100.0%
topic11	1.0   	0     	4     	100.0%
topic12	1.0   	0     	5     	100.0%
topic13	1.0   	1     	3     	100.0%
topic14	1.0   	0     	3     	100.0%
topic15	1.0   	0     	3     	100.0%
topic16	1.0   	0     	4     	100.0%
topic17	1.0   	1     	3     	100.0%
topic18	2.0   	1     	4     	100.0%
topic19	2.0   	1     	4     	100.0%
topic2 	2.0   	1     	5     	100.0%
topic20	1.0   	1     	3     	100.0%
topic21	1.0   	1     	3     	100.0%
topic22	1.0   	1     	4     	100.0%
topic23	2.0   	1     	5     	100.0%
topic24	1.0   	0     	3     	100.0%
topic25	1.0   	0     	3     	100.0%
topic26	2.0   	1     	6     	100.0%
topic27	2.0   	1     	5     	100.0%
topic28	1.0   	0     	4     	100.0%
topic29	1.0   	0     	5     	100.0%
topic3 	1.0   	0     	5     	100.0%
topic30	1.0   	1     	6     	100.0%
topic31	1.0   	0     	3     	100.0%
topic32	1.0   	0     	2     	100.0%
topic33	1.0   	0     	2     	100.0%
topic34	1.0   	0     	2     	100.0%
topic35	1.0   	0     	2     	100.0%
topic36	1.0   	0     	3     	100.0%
topic37	1.0   	0     	4     	100.0%
topic38	1.0   	0     	4     	100.0%
topic39	1.0   	1     	3     	100.0%
topic4 	1.0   	0     	4     	100.0%
topic40	1.0   	0     	2     	100.0%
topic41	1.0   	0     	2     	100.0%
topic42	1.0   	0     	3     	100.0%
topic43	1.0   	1     	3     	100.0%
topic44	1.0   	0     	3     	100.0%
topic45	1.0   	0     	2     	100.0%
topic46	1.0   	0     	4     	100.0%
topic47	1.0   	0     	3     	100.0%
topic48	1.0   	0     	4     	100.0%
topic49	2.0   	1     	4     	100.0%
topic5 	1.0   	0     	4     	100.0%
topic6 	1.0   	0     	5     	100.0%
topic7 	2.0   	0     	4     	100.0%
topic8 	1.0   	0     	4     	100.0%
topic9 	1.0   	0     	3     	100.0%
Total Avg delay: 1.18 ms
