Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	167.0 	9     	1626  	99.9% 
topic1 	276.0 	10    	1791  	100.0%
topic10	155.0 	12    	1680  	100.0%
topic11	129.0 	12    	1047  	100.0%
topic12	150.0 	14    	1723  	100.0%
topic13	193.0 	11    	1118  	100.0%
topic14	129.0 	12    	1671  	100.0%
topic15	256.0 	15    	994   	100.0%
topic16	107.0 	12    	1056  	100.0%
topic17	179.0 	13    	1600  	100.0%
topic18	1396.0	13    	4731  	100.0%
topic19	248.0 	9     	1809  	100.0%
topic2 	404.0 	8     	2353  	100.0%
topic3 	135.0 	12    	1192  	100.0%
topic4 	560.0 	12    	3102  	100.0%
topic5 	126.0 	10    	1266  	100.0%
topic6 	252.0 	10    	1892  	100.0%
topic7 	162.0 	16    	1178  	100.0%
topic8 	173.0 	8     	970   	100.0%
topic9 	86.0  	9     	1647  	100.0%
Total Avg delay: 264.15 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	465.0 	14    	1593  	99.9% 
topic1 	336.0 	18    	2529  	100.0%
topic10	246.0 	11    	1166  	100.0%
topic11	214.0 	12    	1261  	100.0%
topic12	217.0 	8     	1149  	100.0%
topic13	709.0 	10    	1945  	100.0%
topic14	295.0 	14    	1574  	100.0%
topic15	404.0 	13    	1698  	100.0%
topic16	323.0 	13    	1267  	100.0%
topic17	207.0 	11    	1120  	100.0%
topic18	234.0 	11    	2132  	100.0%
topic19	305.0 	14    	1647  	100.0%
topic2 	361.0 	14    	1949  	100.0%
topic3 	279.0 	10    	1932  	100.0%
topic4 	638.0 	13    	2175  	100.0%
topic5 	247.0 	13    	1743  	100.0%
topic6 	243.0 	11    	1243  	100.0%
topic7 	319.0 	12    	1626  	100.0%
topic8 	238.0 	10    	1675  	100.0%
topic9 	317.0 	13    	2089  	100.0%
Total Avg delay: 329.85 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	75.0  	11    	1271  	99.9% 
topic1 	114.0 	11    	920   	100.0%
topic10	155.0 	14    	919   	100.0%
topic11	322.0 	11    	1449  	100.0%
topic12	122.0 	10    	956   	100.0%
topic13	162.0 	11    	1549  	100.0%
topic14	984.0 	18    	2634  	100.0%
topic15	104.0 	13    	880   	100.0%
topic16	85.0  	13    	1441  	100.0%
topic17	118.0 	10    	1365  	100.0%
topic18	239.0 	12    	1900  	100.0%
topic19	228.0 	9     	1938  	100.0%
topic2 	149.0 	11    	1521  	100.0%
topic3 	160.0 	12    	1651  	100.0%
topic4 	290.0 	10    	1654  	100.0%
topic5 	196.0 	11    	1606  	100.0%
topic6 	140.0 	9     	1142  	100.0%
topic7 	232.0 	12    	1880  	100.0%
topic8 	233.0 	10    	1756  	100.0%
topic9 	165.0 	11    	1617  	100.0%
Total Avg delay: 213.65 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	187.0 	11    	1204  	99.9% 
topic1 	236.0 	9     	1388  	100.0%
topic10	359.0 	15    	2274  	100.0%
topic11	295.0 	13    	2096  	100.0%
topic12	184.0 	14    	1029  	100.0%
topic13	996.0 	9     	3152  	100.0%
topic14	235.0 	12    	1163  	100.0%
topic15	272.0 	11    	1715  	100.0%
topic16	145.0 	11    	1044  	100.0%
topic17	478.0 	14    	2505  	100.0%
topic18	449.0 	14    	2610  	100.0%
topic19	194.0 	11    	1366  	100.0%
topic2 	175.0 	9     	1629  	100.0%
topic3 	183.0 	12    	1331  	100.0%
topic4 	208.0 	12    	1282  	100.0%
topic5 	143.0 	14    	1736  	100.0%
topic6 	464.0 	13    	2578  	100.0%
topic7 	159.0 	11    	1169  	100.0%
topic8 	128.0 	13    	1850  	100.0%
topic9 	142.0 	15    	1171  	100.0%
Total Avg delay: 281.6 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	164.0 	14    	1048  	99.9% 
topic1 	163.0 	14    	1056  	100.0%
topic10	184.0 	9     	1842  	100.0%
topic11	142.0 	13    	1270  	100.0%
topic12	174.0 	13    	1382  	100.0%
topic13	191.0 	11    	1354  	100.0%
topic14	130.0 	11    	1087  	100.0%
topic15	293.0 	11    	1202  	100.0%
topic16	167.0 	13    	1012  	100.0%
topic17	188.0 	12    	1157  	100.0%
topic18	158.0 	14    	1156  	100.0%
topic19	182.0 	11    	1410  	100.0%
topic2 	164.0 	15    	1457  	100.0%
topic3 	134.0 	11    	973   	100.0%
topic4 	155.0 	14    	1035  	100.0%
topic5 	174.0 	14    	1297  	100.0%
topic6 	189.0 	12    	1346  	100.0%
topic7 	239.0 	12    	1421  	100.0%
topic8 	160.0 	9     	1261  	100.0%
topic9 	159.0 	12    	1052  	100.0%
Total Avg delay: 175.5 ms
