Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	314.0 	12    	1591  	99.9% 
topic1 	316.0 	13    	1697  	100.0%
topic10	1084.0	11    	3042  	100.0%
topic11	268.0 	15    	1307  	100.0%
topic12	321.0 	12    	1614  	100.0%
topic13	282.0 	14    	1563  	100.0%
topic14	247.0 	12    	1185  	100.0%
topic15	303.0 	18    	1773  	100.0%
topic16	438.0 	12    	1780  	100.0%
topic17	291.0 	16    	1518  	100.0%
topic18	271.0 	14    	1286  	100.0%
topic19	289.0 	14    	1332  	100.0%
topic2 	1065.0	14    	3793  	100.0%
topic3 	270.0 	15    	1358  	100.0%
topic4 	274.0 	13    	1315  	100.0%
topic5 	268.0 	13    	1323  	100.0%
topic6 	323.0 	13    	1670  	100.0%
topic7 	355.0 	15    	1600  	100.0%
topic8 	309.0 	12    	1190  	100.0%
topic9 	234.0 	14    	1590  	100.0%
Total Avg delay: 376.1 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	156.0 	14    	952   	99.9% 
topic1 	779.0 	15    	2368  	100.0%
topic10	138.0 	14    	1017  	100.0%
topic11	284.0 	13    	1801  	100.0%
topic12	686.0 	12    	2296  	100.0%
topic13	452.0 	18    	1885  	100.0%
topic14	451.0 	16    	2212  	100.0%
topic15	217.0 	14    	2185  	100.0%
topic16	269.0 	14    	1814  	100.0%
topic17	217.0 	15    	1870  	100.0%
topic18	461.0 	12    	2099  	100.0%
topic19	1029.0	14    	2387  	100.0%
topic2 	397.0 	15    	2363  	100.0%
topic3 	141.0 	15    	1301  	100.0%
topic4 	730.0 	14    	1887  	89.0% 
topic5 	868.0 	16    	3674  	100.0%
topic6 	203.0 	14    	899   	100.0%
topic7 	177.0 	10    	1237  	100.0%
topic8 	981.0 	14    	2314  	100.0%
topic9 	372.0 	15    	1863  	100.0%
Total Avg delay: 450.4 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	3089.0	315   	7497  	49.8% 
topic1 	2800.0	35    	7272  	52.6% 
topic10	1926.0	381   	3489  	35.0% 
topic11	2710.0	48    	7257  	35.1% 
topic12	2780.0	34    	7281  	49.8% 
topic13	2575.0	45    	7241  	48.8% 
topic14	2895.0	100   	5028  	19.5% 
topic15	2848.0	72    	7305  	46.1% 
topic16	2816.0	86    	7312  	37.5% 
topic17	2676.0	203   	4324  	29.4% 
topic18	3172.0	26    	4924  	28.9% 
topic19	2122.0	216   	4477  	25.7% 
topic2 	2431.0	136   	7253  	44.8% 
topic3 	3156.0	171   	7411  	56.8% 
topic4 	2424.0	206   	4428  	39.1% 
topic5 	2926.0	389   	7277  	49.8% 
topic6 	2889.0	219   	7255  	44.8% 
topic7 	2177.0	320   	4132  	39.2% 
topic8 	3047.0	180   	7237  	35.9% 
topic9 	2604.0	252   	7203  	44.1% 
Total Avg delay: 2703.15 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	2044.0	22    	4824  	36.3% 
topic1 	2172.0	19    	5053  	41.0% 
topic10	2461.0	28    	4912  	39.6% 
topic11	759.0 	20    	3484  	15.5% 
topic12	2247.0	20    	4989  	42.6% 
topic13	2177.0	32    	3895  	34.0% 
topic14	2743.0	21    	4953  	45.1% 
topic15	2385.0	25    	4717  	36.6% 
topic16	1894.0	14    	3992  	30.7% 
topic17	2364.0	28    	4082  	31.1% 
topic18	2432.0	11    	4729  	23.3% 
topic19	1800.0	24    	4359  	19.7% 
topic2 	2524.0	20    	5493  	46.4% 
topic3 	2143.0	18    	3926  	33.2% 
topic4 	2257.0	20    	4706  	42.5% 
topic5 	2062.0	29    	4789  	39.6% 
topic6 	2503.0	20    	5270  	45.6% 
topic7 	2098.0	25    	4756  	30.5% 
topic8 	2395.0	24    	4992  	34.7% 
topic9 	2539.0	16    	4726  	28.2% 
Total Avg delay: 2199.95 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	507.0 	13    	3601  	83.0% 
topic1 	793.0 	17    	2215  	100.0%
topic10	553.0 	18    	3258  	85.1% 
topic11	858.0 	16    	3449  	91.7% 
topic12	909.0 	20    	3755  	77.4% 
topic13	816.0 	23    	3184  	88.2% 
topic14	1123.0	20    	3677  	76.7% 
topic15	1311.0	20    	3503  	54.3% 
topic16	958.0 	22    	4053  	74.4% 
topic17	1012.0	14    	3722  	81.8% 
topic18	1180.0	22    	3502  	77.3% 
topic19	919.0 	13    	3547  	88.7% 
topic2 	677.0 	11    	3047  	77.9% 
topic3 	796.0 	14    	3288  	75.4% 
topic4 	1080.0	11    	3211  	77.9% 
topic5 	1041.0	18    	3438  	100.0%
topic6 	568.0 	19    	3286  	87.1% 
topic7 	534.0 	17    	2984  	87.4% 
topic8 	811.0 	19    	3661  	88.6% 
topic9 	868.0 	18    	3818  	88.6% 
Total Avg delay: 865.7 ms
