Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	124.0 	2     	814   	99.9% 
topic1 	206.0 	2     	1587  	100.0%
topic10	144.0 	2     	994   	100.0%
topic11	125.0 	2     	1238  	100.0%
topic12	200.0 	2     	1194  	100.0%
topic13	117.0 	2     	916   	100.0%
topic14	87.0  	2     	1227  	100.0%
topic15	115.0 	1     	831   	100.0%
topic16	170.0 	3     	1537  	100.0%
topic17	139.0 	2     	1631  	100.0%
topic18	145.0 	2     	1209  	100.0%
topic19	112.0 	2     	1207  	100.0%
topic2 	114.0 	2     	927   	100.0%
topic3 	104.0 	2     	1170  	100.0%
topic4 	121.0 	2     	869   	100.0%
topic5 	206.0 	2     	1241  	100.0%
topic6 	144.0 	3     	1281  	100.0%
topic7 	141.0 	2     	1181  	100.0%
topic8 	146.0 	2     	1170  	100.0%
topic9 	156.0 	2     	1203  	100.0%
Total Avg delay: 140.8 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	154.0 	2     	1364  	99.9% 
topic1 	114.0 	2     	936   	100.0%
topic10	99.0  	2     	1184  	100.0%
topic11	91.0  	2     	866   	100.0%
topic12	135.0 	2     	1145  	100.0%
topic13	160.0 	2     	1231  	100.0%
topic14	134.0 	2     	1016  	100.0%
topic15	92.0  	2     	694   	100.0%
topic16	94.0  	2     	1001  	100.0%
topic17	160.0 	2     	895   	100.0%
topic18	139.0 	2     	846   	100.0%
topic19	147.0 	2     	1018  	100.0%
topic2 	87.0  	2     	1016  	100.0%
topic3 	205.0 	2     	1944  	100.0%
topic4 	101.0 	2     	995   	100.0%
topic5 	175.0 	2     	1275  	100.0%
topic6 	103.0 	2     	650   	100.0%
topic7 	147.0 	2     	1026  	100.0%
topic8 	220.0 	2     	1281  	100.0%
topic9 	105.0 	2     	946   	100.0%
Total Avg delay: 133.1 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	237.0 	2     	1843  	99.9% 
topic1 	134.0 	2     	939   	100.0%
topic10	142.0 	2     	1090  	100.0%
topic11	194.0 	3     	947   	100.0%
topic12	311.0 	2     	1248  	100.0%
topic13	692.0 	5     	2181  	100.0%
topic14	103.0 	3     	1024  	100.0%
topic15	69.0  	2     	1314  	100.0%
topic16	257.0 	3     	1774  	100.0%
topic17	183.0 	2     	1485  	100.0%
topic18	214.0 	3     	909   	100.0%
topic19	108.0 	2     	1060  	100.0%
topic2 	241.0 	3     	901   	100.0%
topic3 	147.0 	2     	1447  	100.0%
topic4 	190.0 	2     	965   	100.0%
topic5 	1605.0	3     	3868  	100.0%
topic6 	579.0 	2     	2503  	100.0%
topic7 	330.0 	3     	1278  	100.0%
topic8 	183.0 	3     	1026  	100.0%
topic9 	880.0 	3     	3137  	100.0%
Total Avg delay: 339.95 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	66.0  	3     	1629  	99.9% 
topic1 	101.0 	2     	748   	100.0%
topic10	177.0 	2     	1416  	100.0%
topic11	198.0 	2     	820   	100.0%
topic12	68.0  	2     	1116  	100.0%
topic13	78.0  	2     	1332  	100.0%
topic14	283.0 	3     	1183  	100.0%
topic15	81.0  	2     	736   	100.0%
topic16	256.0 	2     	1144  	100.0%
topic17	69.0  	2     	980   	100.0%
topic18	78.0  	2     	715   	100.0%
topic19	658.0 	3     	2030  	100.0%
topic2 	132.0 	3     	938   	100.0%
topic3 	101.0 	2     	1380  	100.0%
topic4 	91.0  	2     	633   	100.0%
topic5 	116.0 	2     	815   	100.0%
topic6 	193.0 	2     	1199  	100.0%
topic7 	202.0 	2     	1063  	100.0%
topic8 	281.0 	3     	1102  	100.0%
topic9 	81.0  	3     	1015  	100.0%
Total Avg delay: 165.5 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	139.0 	2     	780   	99.9% 
topic1 	56.0  	2     	965   	100.0%
topic10	63.0  	2     	716   	100.0%
topic11	95.0  	2     	980   	100.0%
topic12	95.0  	2     	980   	100.0%
topic13	95.0  	2     	858   	100.0%
topic14	1235.0	2     	3419  	100.0%
topic15	92.0  	2     	926   	100.0%
topic16	109.0 	3     	919   	100.0%
topic17	106.0 	3     	1258  	100.0%
topic18	35.0  	2     	1494  	100.0%
topic19	93.0  	3     	1251  	100.0%
topic2 	111.0 	2     	1016  	100.0%
topic3 	70.0  	2     	896   	100.0%
topic4 	202.0 	2     	1443  	100.0%
topic5 	83.0  	2     	945   	100.0%
topic6 	216.0 	3     	1644  	100.0%
topic7 	165.0 	2     	1229  	100.0%
topic8 	73.0  	2     	901   	100.0%
topic9 	99.0  	2     	1054  	100.0%
Total Avg delay: 161.6 ms
