Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	410.0 	4     	2810  	79.1% 
topic1 	759.0 	6     	2896  	72.9% 
topic10	617.0 	4     	4579  	74.2% 
topic11	484.0 	5     	3034  	62.6% 
topic12	1686.0	6     	4584  	58.0% 
topic13	1112.0	6     	3233  	39.1% 
topic14	539.0 	4     	2724  	69.8% 
topic15	963.0 	4     	3461  	72.1% 
topic16	453.0 	6     	3160  	64.0% 
topic17	660.0 	6     	3221  	30.4% 
topic18	888.0 	5     	4616  	75.6% 
topic19	661.0 	5     	4633  	68.7% 
topic2 	1417.0	5     	5655  	56.1% 
topic20	859.0 	6     	4588  	66.7% 
topic21	1145.0	6     	3364  	36.2% 
topic22	1001.0	10    	4575  	69.3% 
topic23	404.0 	6     	3133  	61.0% 
topic24	967.0 	7     	3401  	29.3% 
topic25	1244.0	7     	4618  	27.3% 
topic26	469.0 	6     	3052  	62.1% 
topic27	681.0 	6     	4613  	64.2% 
topic28	2138.0	7     	5183  	48.4% 
topic29	741.0 	4     	4537  	65.7% 
topic3 	660.0 	6     	3119  	70.0% 
topic30	456.0 	4     	2768  	64.2% 
topic31	421.0 	5     	3162  	55.5% 
topic32	838.0 	4     	4602  	59.5% 
topic33	848.0 	6     	4718  	57.1% 
topic34	406.0 	4     	3031  	54.1% 
topic35	587.0 	5     	2953  	52.8% 
topic36	407.0 	5     	2814  	54.3% 
topic37	817.0 	5     	4572  	44.8% 
topic38	2661.0	12    	5686  	51.7% 
topic39	771.0 	6     	4889  	56.5% 
topic4 	594.0 	5     	3788  	66.3% 
topic5 	576.0 	4     	4571  	83.5% 
topic6 	851.0 	5     	4640  	80.3% 
topic7 	498.0 	5     	2887  	31.8% 
topic8 	888.0 	5     	4606  	78.1% 
topic9 	868.0 	5     	4620  	81.2% 
Total Avg delay: 836.125 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	737.0 	7     	5247  	69.9% 
topic1 	802.0 	5     	5027  	31.9% 
topic10	589.0 	7     	3938  	26.1% 
topic11	2213.0	6     	5325  	40.2% 
topic12	577.0 	4     	3973  	70.1% 
topic13	1398.0	5     	4122  	62.6% 
topic14	903.0 	4     	4913  	78.2% 
topic15	1109.0	6     	5320  	69.7% 
topic16	2596.0	6     	5378  	40.7% 
topic17	762.0 	5     	5310  	61.1% 
topic18	810.0 	5     	3618  	23.2% 
topic19	914.0 	6     	4878  	58.0% 
topic2 	1059.0	5     	3733  	65.3% 
topic20	1930.0	9     	5256  	30.4% 
topic21	672.0 	5     	4387  	68.0% 
topic22	981.0 	5     	4921  	67.1% 
topic23	1019.0	5     	4915  	76.5% 
topic24	1480.0	7     	4216  	63.1% 
topic25	379.0 	6     	2558  	18.1% 
topic26	770.0 	4     	5230  	64.2% 
topic27	1571.0	8     	5259  	72.1% 
topic28	926.0 	4     	5297  	63.4% 
topic29	1299.0	4     	5256  	62.1% 
topic3 	2555.0	6     	6206  	79.6% 
topic30	613.0 	4     	3785  	60.9% 
topic31	1099.0	5     	4922  	62.6% 
topic32	502.0 	5     	3355  	48.8% 
topic33	1258.0	6     	5342  	65.1% 
topic34	744.0 	7     	3671  	52.1% 
topic35	1880.0	7     	5338  	64.4% 
topic36	568.0 	5     	4108  	53.2% 
topic37	1795.0	8     	5259  	61.8% 
topic38	769.0 	5     	4890  	47.2% 
topic39	1182.0	6     	3950  	54.1% 
topic4 	680.0 	5     	3721  	27.8% 
topic5 	1255.0	6     	4897  	31.4% 
topic6 	1160.0	6     	4109  	67.7% 
topic7 	503.0 	4     	4031  	65.3% 
topic8 	822.0 	5     	4853  	79.7% 
topic9 	960.0 	5     	4899  	72.7% 
Total Avg delay: 1096.025 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	792.0 	5     	6530  	61.6% 
topic1 	1317.0	5     	6487  	81.4% 
topic10	559.0 	5     	3147  	54.2% 
topic11	636.0 	5     	3043  	48.7% 
topic12	772.0 	6     	3409  	50.5% 
topic13	1191.0	5     	6469  	64.0% 
topic14	549.0 	5     	3547  	61.5% 
topic15	306.0 	5     	1526  	40.0% 
topic16	1455.0	6     	6497  	54.7% 
topic17	1125.0	5     	6488  	57.6% 
topic18	612.0 	5     	3019  	63.1% 
topic19	986.0 	5     	6409  	59.6% 
topic2 	676.0 	5     	3324  	65.4% 
topic20	361.0 	7     	1614  	52.3% 
topic21	603.0 	5     	3149  	50.7% 
topic22	1000.0	5     	6581  	43.9% 
topic23	1419.0	5     	6437  	66.5% 
topic24	1159.0	5     	6412  	57.9% 
topic25	1096.0	4     	6692  	41.9% 
topic26	1201.0	4     	6569  	63.7% 
topic27	1308.0	6     	6417  	51.2% 
topic28	1560.0	5     	4997  	48.7% 
topic29	985.0 	6     	4865  	56.2% 
topic3 	608.0 	5     	3280  	65.3% 
topic30	1577.0	5     	4888  	50.7% 
topic31	576.0 	5     	3158  	53.6% 
topic32	615.0 	5     	3522  	49.9% 
topic33	366.0 	7     	2534  	31.5% 
topic34	1576.0	4     	6480  	57.3% 
topic35	974.0 	6     	4927  	56.3% 
topic36	993.0 	5     	6418  	48.2% 
topic37	1899.0	5     	6448  	53.8% 
topic38	1997.0	6     	6428  	59.7% 
topic39	1051.0	8     	3642  	46.9% 
topic4 	592.0 	4     	3444  	60.6% 
topic5 	535.0 	5     	3456  	62.9% 
topic6 	929.0 	4     	6511  	70.9% 
topic7 	1229.0	5     	6406  	53.6% 
topic8 	539.0 	5     	3165  	66.3% 
topic9 	1101.0	5     	6408  	71.9% 
Total Avg delay: 970.625 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	426.0 	7     	2798  	57.9% 
topic1 	525.0 	5     	2927  	59.8% 
topic10	811.0 	5     	6719  	59.0% 
topic11	592.0 	5     	3092  	54.9% 
topic12	1152.0	5     	6800  	64.2% 
topic13	991.0 	6     	6703  	59.3% 
topic14	1145.0	5     	6921  	58.3% 
topic15	907.0 	5     	6864  	60.4% 
topic16	600.0 	6     	2773  	49.4% 
topic17	638.0 	8     	3125  	55.5% 
topic18	752.0 	4     	6683  	55.8% 
topic19	471.0 	4     	3028  	58.6% 
topic2 	533.0 	5     	2932  	60.2% 
topic20	749.0 	10    	2861  	56.6% 
topic21	1372.0	6     	7187  	56.3% 
topic22	503.0 	5     	3459  	54.4% 
topic23	915.0 	6     	7187  	55.4% 
topic24	500.0 	6     	3494  	54.1% 
topic25	1135.0	6     	6923  	59.1% 
topic26	823.0 	5     	3486  	58.3% 
topic27	785.0 	5     	3013  	49.1% 
topic28	1011.0	6     	6878  	57.3% 
topic29	1343.0	5     	7244  	53.7% 
topic3 	465.0 	5     	2958  	56.7% 
topic30	1197.0	7     	7003  	54.7% 
topic31	579.0 	5     	2813  	48.8% 
topic32	2350.0	8     	7302  	55.2% 
topic33	1137.0	6     	6735  	54.6% 
topic34	699.0 	9     	3059  	39.5% 
topic35	1400.0	7     	6826  	59.6% 
topic36	770.0 	7     	3980  	49.1% 
topic37	524.0 	5     	3294  	45.5% 
topic38	1451.0	7     	7105  	56.3% 
topic39	473.0 	5     	2190  	43.6% 
topic4 	957.0 	6     	6716  	68.5% 
topic5 	537.0 	5     	2649  	57.5% 
topic6 	499.0 	5     	3244  	56.6% 
topic7 	694.0 	5     	3312  	65.9% 
topic8 	735.0 	6     	6741  	58.8% 
topic9 	415.0 	4     	3046  	56.2% 
Total Avg delay: 839.025 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	739.0 	7     	4816  	44.6% 
topic1 	399.0 	6     	2031  	71.1% 
topic10	2173.0	6     	6920  	79.4% 
topic11	1147.0	8     	4797  	49.4% 
topic12	626.0 	5     	3503  	63.5% 
topic13	700.0 	5     	3520  	69.4% 
topic14	3028.0	5     	6998  	79.1% 
topic15	982.0 	4     	3032  	75.8% 
topic16	1622.0	5     	5222  	79.4% 
topic17	612.0 	5     	3492  	70.9% 
topic18	695.0 	5     	3735  	54.8% 
topic19	542.0 	5     	1959  	72.1% 
topic2 	677.0 	5     	5284  	77.3% 
topic20	665.0 	5     	2347  	72.4% 
topic21	764.0 	5     	4776  	69.7% 
topic22	503.0 	5     	3512  	60.8% 
topic23	530.0 	4     	3600  	69.5% 
topic24	793.0 	6     	3546  	67.7% 
topic25	399.0 	5     	2474  	68.8% 
topic26	1057.0	7     	4967  	25.7% 
topic27	1367.0	6     	5145  	67.4% 
topic28	1133.0	6     	5181  	29.0% 
topic29	1695.0	6     	5593  	71.0% 
topic3 	2167.0	6     	5113  	93.9% 
topic30	1587.0	7     	4773  	40.7% 
topic31	783.0 	5     	3608  	66.4% 
topic32	776.0 	6     	3711  	66.8% 
topic33	597.0 	4     	3857  	68.4% 
topic34	1308.0	5     	5078  	73.2% 
topic35	645.0 	4     	3494  	65.2% 
topic36	982.0 	5     	4694  	53.5% 
topic37	1889.0	7     	5352  	33.8% 
topic38	1369.0	6     	4864  	38.5% 
topic39	676.0 	6     	3932  	51.2% 
topic4 	689.0 	7     	4926  	30.3% 
topic5 	954.0 	5     	4784  	45.2% 
topic6 	658.0 	4     	4768  	85.6% 
topic7 	720.0 	5     	4728  	77.1% 
topic8 	681.0 	5     	4760  	94.0% 
topic9 	807.0 	5     	5025  	77.1% 
Total Avg delay: 1003.4 ms
