Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	293.0 	11    	2006  	99.9% 
topic1 	129.0 	10    	1478  	100.0%
topic10	487.0 	13    	2599  	100.0%
topic11	277.0 	9     	2199  	100.0%
topic12	162.0 	10    	1525  	100.0%
topic13	324.0 	15    	1502  	100.0%
topic14	189.0 	13    	1515  	100.0%
topic15	259.0 	10    	1623  	100.0%
topic16	114.0 	11    	1425  	100.0%
topic17	89.0  	9     	1040  	100.0%
topic18	192.0 	12    	1710  	100.0%
topic19	455.0 	10    	1780  	100.0%
topic2 	518.0 	15    	1083  	100.0%
topic3 	390.0 	15    	1578  	100.0%
topic4 	140.0 	11    	994   	100.0%
topic5 	136.0 	11    	1353  	100.0%
topic6 	198.0 	11    	1392  	100.0%
topic7 	166.0 	11    	1300  	100.0%
topic8 	179.0 	9     	1630  	100.0%
topic9 	203.0 	15    	1494  	100.0%
Total Avg delay: 245.0 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	281.0 	12    	1337  	99.9% 
topic1 	184.0 	10    	1154  	100.0%
topic10	132.0 	12    	1206  	100.0%
topic11	134.0 	11    	1264  	100.0%
topic12	181.0 	10    	1266  	100.0%
topic13	159.0 	11    	1152  	100.0%
topic14	250.0 	12    	1305  	100.0%
topic15	188.0 	14    	1137  	100.0%
topic16	289.0 	12    	1647  	100.0%
topic17	174.0 	8     	1116  	100.0%
topic18	101.0 	11    	1447  	100.0%
topic19	106.0 	10    	1510  	100.0%
topic2 	110.0 	10    	843   	100.0%
topic3 	255.0 	11    	1263  	100.0%
topic4 	134.0 	10    	953   	100.0%
topic5 	124.0 	11    	995   	100.0%
topic6 	121.0 	8     	1012  	100.0%
topic7 	88.0  	9     	1333  	100.0%
topic8 	108.0 	8     	940   	100.0%
topic9 	105.0 	13    	1013  	100.0%
Total Avg delay: 161.2 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	183.0 	9     	953   	99.9% 
topic1 	378.0 	9     	1260  	100.0%
topic10	117.0 	9     	1531  	100.0%
topic11	190.0 	13    	1595  	100.0%
topic12	424.0 	11    	2241  	100.0%
topic13	155.0 	10    	1644  	100.0%
topic14	231.0 	8     	1301  	100.0%
topic15	166.0 	10    	1789  	100.0%
topic16	210.0 	10    	1300  	100.0%
topic17	263.0 	10    	1980  	100.0%
topic18	271.0 	8     	1477  	100.0%
topic19	260.0 	8     	1293  	100.0%
topic2 	164.0 	11    	1106  	100.0%
topic3 	159.0 	9     	1306  	100.0%
topic4 	198.0 	8     	2004  	100.0%
topic5 	117.0 	12    	1394  	100.0%
topic6 	128.0 	10    	1015  	100.0%
topic7 	141.0 	10    	1064  	100.0%
topic8 	231.0 	10    	2029  	100.0%
topic9 	444.0 	14    	2893  	100.0%
Total Avg delay: 221.5 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	174.0 	9     	1231  	99.9% 
topic1 	126.0 	11    	1331  	100.0%
topic10	133.0 	11    	1080  	100.0%
topic11	129.0 	10    	960   	100.0%
topic12	126.0 	9     	1200  	100.0%
topic13	132.0 	12    	1217  	100.0%
topic14	141.0 	10    	1242  	100.0%
topic15	160.0 	11    	1282  	100.0%
topic16	235.0 	10    	1458  	100.0%
topic17	202.0 	8     	2066  	100.0%
topic18	90.0  	9     	1530  	100.0%
topic19	181.0 	12    	1386  	100.0%
topic2 	138.0 	11    	1118  	100.0%
topic3 	197.0 	10    	1584  	100.0%
topic4 	110.0 	11    	955   	100.0%
topic5 	106.0 	10    	1309  	100.0%
topic6 	118.0 	9     	1101  	100.0%
topic7 	171.0 	9     	917   	100.0%
topic8 	402.0 	11    	2247  	100.0%
topic9 	237.0 	12    	1307  	100.0%
Total Avg delay: 165.4 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	292.0 	13    	1549  	99.9% 
topic1 	155.0 	10    	1329  	100.0%
topic10	159.0 	9     	960   	100.0%
topic11	231.0 	11    	1438  	100.0%
topic12	302.0 	11    	2043  	100.0%
topic13	141.0 	10    	1123  	100.0%
topic14	145.0 	12    	1121  	100.0%
topic15	163.0 	12    	1222  	100.0%
topic16	145.0 	9     	1899  	100.0%
topic17	446.0 	10    	1429  	100.0%
topic18	143.0 	12    	971   	100.0%
topic19	220.0 	12    	1714  	100.0%
topic2 	127.0 	12    	1961  	100.0%
topic3 	141.0 	11    	1422  	100.0%
topic4 	134.0 	9     	2238  	100.0%
topic5 	291.0 	12    	2108  	100.0%
topic6 	274.0 	9     	1544  	100.0%
topic7 	253.0 	10    	1941  	100.0%
topic8 	242.0 	11    	2160  	100.0%
topic9 	3026.0	11    	6421  	100.0%
Total Avg delay: 351.5 ms
