Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	930.0 	16    	3594  	99.9% 
topic1 	156.0 	13    	1903  	100.0%
topic10	277.0 	12    	1955  	100.0%
topic11	321.0 	13    	1574  	100.0%
topic12	164.0 	15    	1393  	100.0%
topic13	137.0 	14    	1055  	100.0%
topic14	356.0 	16    	2177  	100.0%
topic15	88.0  	13    	1570  	100.0%
topic16	470.0 	12    	2656  	100.0%
topic17	127.0 	11    	1312  	100.0%
topic18	149.0 	12    	1041  	100.0%
topic19	194.0 	11    	1969  	100.0%
topic2 	164.0 	14    	1201  	100.0%
topic3 	281.0 	11    	1383  	100.0%
topic4 	173.0 	13    	1181  	100.0%
topic5 	134.0 	16    	1401  	100.0%
topic6 	142.0 	14    	981   	100.0%
topic7 	123.0 	13    	1111  	100.0%
topic8 	146.0 	12    	1922  	100.0%
topic9 	157.0 	13    	1590  	100.0%
Total Avg delay: 234.45 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	411.0 	13    	1925  	99.9% 
topic1 	331.0 	13    	1443  	100.0%
topic10	349.0 	14    	1771  	100.0%
topic11	352.0 	12    	1499  	100.0%
topic12	224.0 	11    	1740  	100.0%
topic13	272.0 	10    	1178  	100.0%
topic14	282.0 	8     	1389  	100.0%
topic15	278.0 	11    	1473  	100.0%
topic16	374.0 	13    	1527  	100.0%
topic17	311.0 	16    	1322  	100.0%
topic18	280.0 	13    	1218  	100.0%
topic19	315.0 	10    	1412  	100.0%
topic2 	245.0 	13    	1383  	100.0%
topic3 	327.0 	9     	1584  	100.0%
topic4 	276.0 	16    	1087  	100.0%
topic5 	417.0 	10    	1653  	100.0%
topic6 	358.0 	13    	1456  	100.0%
topic7 	290.0 	16    	1282  	100.0%
topic8 	312.0 	13    	1510  	100.0%
topic9 	291.0 	14    	1547  	100.0%
Total Avg delay: 314.75 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	104.0 	13    	1501  	99.9% 
topic1 	179.0 	11    	1321  	100.0%
topic10	170.0 	14    	1284  	100.0%
topic11	157.0 	11    	938   	100.0%
topic12	182.0 	14    	1174  	100.0%
topic13	111.0 	13    	1588  	100.0%
topic14	292.0 	10    	1631  	100.0%
topic15	169.0 	9     	1342  	100.0%
topic16	255.0 	11    	1340  	100.0%
topic17	200.0 	16    	1278  	100.0%
topic18	96.0  	12    	1490  	100.0%
topic19	200.0 	13    	1097  	100.0%
topic2 	237.0 	16    	1311  	100.0%
topic3 	165.0 	11    	1516  	100.0%
topic4 	591.0 	13    	1895  	100.0%
topic5 	582.0 	14    	3118  	100.0%
topic6 	285.0 	14    	1236  	100.0%
topic7 	238.0 	12    	1344  	100.0%
topic8 	289.0 	13    	2334  	100.0%
topic9 	143.0 	13    	974   	100.0%
Total Avg delay: 232.25 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	190.0 	14    	1218  	99.9% 
topic1 	196.0 	10    	1290  	100.0%
topic10	573.0 	16    	2444  	100.0%
topic11	117.0 	11    	1179  	100.0%
topic12	341.0 	14    	2410  	100.0%
topic13	168.0 	12    	1375  	100.0%
topic14	208.0 	12    	1275  	100.0%
topic15	131.0 	14    	1148  	100.0%
topic16	1148.0	16    	3270  	100.0%
topic17	121.0 	12    	816   	100.0%
topic18	138.0 	11    	1239  	100.0%
topic19	745.0 	14    	1919  	100.0%
topic2 	300.0 	12    	1725  	100.0%
topic3 	125.0 	10    	1096  	100.0%
topic4 	105.0 	11    	1099  	100.0%
topic5 	165.0 	13    	1483  	100.0%
topic6 	117.0 	13    	1075  	100.0%
topic7 	127.0 	12    	1114  	100.0%
topic8 	255.0 	11    	2085  	100.0%
topic9 	120.0 	12    	1400  	100.0%
Total Avg delay: 269.5 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	345.0 	15    	2344  	99.9% 
topic1 	319.0 	12    	1282  	100.0%
topic10	141.0 	13    	1151  	100.0%
topic11	548.0 	16    	2882  	100.0%
topic12	210.0 	12    	1997  	100.0%
topic13	267.0 	12    	2212  	100.0%
topic14	227.0 	13    	1807  	100.0%
topic15	195.0 	14    	1412  	100.0%
topic16	432.0 	14    	2546  	100.0%
topic17	164.0 	12    	1593  	100.0%
topic18	328.0 	14    	2094  	100.0%
topic19	176.0 	12    	1213  	100.0%
topic2 	327.0 	16    	1792  	100.0%
topic3 	378.0 	18    	2468  	100.0%
topic4 	129.0 	14    	1840  	100.0%
topic5 	168.0 	15    	1668  	100.0%
topic6 	458.0 	16    	2537  	100.0%
topic7 	672.0 	20    	2739  	100.0%
topic8 	225.0 	16    	1259  	100.0%
topic9 	335.0 	16    	1989  	100.0%
Total Avg delay: 302.2 ms
