Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	1022.0	3     	2855  	99.9% 
topic1 	182.0 	2     	2059  	100.0%
topic10	180.0 	3     	1610  	100.0%
topic11	590.0 	3     	2789  	100.0%
topic12	116.0 	3     	990   	100.0%
topic13	76.0  	3     	1152  	100.0%
topic14	201.0 	3     	1257  	100.0%
topic15	135.0 	3     	1084  	100.0%
topic16	119.0 	3     	1172  	100.0%
topic17	159.0 	3     	1289  	100.0%
topic18	151.0 	3     	1153  	100.0%
topic19	1563.0	4     	3537  	100.0%
topic2 	174.0 	3     	1055  	100.0%
topic20	459.0 	3     	2226  	100.0%
topic21	179.0 	3     	1346  	100.0%
topic22	108.0 	3     	813   	100.0%
topic23	141.0 	3     	1261  	100.0%
topic24	76.0  	2     	991   	100.0%
topic3 	98.0  	3     	1132  	100.0%
topic4 	467.0 	3     	2476  	100.0%
topic5 	761.0 	3     	2303  	100.0%
topic6 	503.0 	3     	1527  	100.0%
topic7 	102.0 	3     	1116  	100.0%
topic8 	551.0 	3     	2397  	100.0%
topic9 	169.0 	3     	1761  	100.0%
Total Avg delay: 331.28 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	3434.0	5     	6601  	99.9% 
topic1 	1378.0	5     	4356  	100.0%
topic10	445.0 	3     	1836  	100.0%
topic11	131.0 	3     	1048  	100.0%
topic12	158.0 	3     	1569  	100.0%
topic13	97.0  	3     	1970  	100.0%
topic14	220.0 	3     	1163  	100.0%
topic15	214.0 	3     	2096  	100.0%
topic16	182.0 	3     	1712  	100.0%
topic17	751.0 	3     	3527  	100.0%
topic18	433.0 	3     	2265  	100.0%
topic19	414.0 	3     	2066  	100.0%
topic2 	328.0 	4     	1486  	100.0%
topic20	263.0 	4     	2225  	100.0%
topic21	291.0 	4     	1879  	100.0%
topic22	1101.0	3     	3559  	100.0%
topic23	472.0 	3     	2651  	100.0%
topic24	237.0 	3     	1379  	100.0%
topic3 	502.0 	3     	2213  	100.0%
topic4 	424.0 	4     	2207  	100.0%
topic5 	189.0 	3     	1240  	100.0%
topic6 	285.0 	3     	2182  	100.0%
topic7 	135.0 	3     	1480  	100.0%
topic8 	344.0 	3     	2133  	100.0%
topic9 	1375.0	5     	2440  	100.0%
Total Avg delay: 552.12 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	321.0 	4     	1472  	99.9% 
topic1 	254.0 	3     	1496  	100.0%
topic10	194.0 	3     	2040  	100.0%
topic11	1221.0	4     	4652  	100.0%
topic12	139.0 	3     	1135  	100.0%
topic13	518.0 	3     	2312  	100.0%
topic14	502.0 	3     	2572  	100.0%
topic15	141.0 	2     	826   	100.0%
topic16	150.0 	3     	1422  	100.0%
topic17	566.0 	3     	3309  	100.0%
topic18	436.0 	3     	1932  	100.0%
topic19	464.0 	3     	2099  	100.0%
topic2 	377.0 	3     	1890  	100.0%
topic20	520.0 	3     	2106  	100.0%
topic21	108.0 	3     	1376  	100.0%
topic22	3011.0	3     	7798  	100.0%
topic23	296.0 	3     	1757  	100.0%
topic24	127.0 	3     	1201  	100.0%
topic3 	110.0 	2     	1265  	100.0%
topic4 	195.0 	3     	2101  	100.0%
topic5 	141.0 	3     	942   	100.0%
topic6 	149.0 	3     	1160  	100.0%
topic7 	312.0 	4     	2146  	100.0%
topic8 	292.0 	3     	1257  	100.0%
topic9 	153.0 	3     	1159  	100.0%
Total Avg delay: 427.88 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	66.0  	3     	1063  	99.9% 
topic1 	140.0 	3     	1431  	100.0%
topic10	119.0 	3     	1460  	100.0%
topic11	846.0 	4     	2277  	100.0%
topic12	106.0 	3     	1036  	100.0%
topic13	105.0 	3     	1212  	100.0%
topic14	70.0  	3     	1458  	100.0%
topic15	192.0 	3     	1359  	100.0%
topic16	246.0 	3     	1972  	100.0%
topic17	292.0 	3     	1351  	100.0%
topic18	264.0 	3     	1463  	100.0%
topic19	252.0 	3     	1412  	100.0%
topic2 	425.0 	3     	3406  	100.0%
topic20	123.0 	3     	1180  	100.0%
topic21	75.0  	4     	1816  	100.0%
topic22	144.0 	3     	1221  	100.0%
topic23	99.0  	3     	934   	100.0%
topic24	187.0 	3     	1936  	100.0%
topic3 	110.0 	3     	949   	100.0%
topic4 	800.0 	4     	3596  	100.0%
topic5 	49.0  	3     	1632  	100.0%
topic6 	55.0  	3     	1400  	100.0%
