Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	1510.0	5     	3772  	62.4% 
topic1 	1132.0	6     	2513  	46.7% 
topic10	641.0 	7     	2578  	68.4% 
topic11	530.0 	4     	2590  	61.9% 
topic12	1353.0	7     	2525  	55.0% 
topic13	931.0 	6     	3574  	73.4% 
topic14	1000.0	4     	3577  	75.4% 
topic15	1044.0	7     	3644  	72.0% 
topic16	737.0 	5     	3575  	61.2% 
topic17	879.0 	5     	3632  	70.4% 
topic18	318.0 	8     	1863  	15.9% 
topic19	1007.0	6     	3815  	67.9% 
topic2 	908.0 	5     	3594  	71.8% 
topic20	936.0 	6     	3564  	66.1% 
topic21	500.0 	4     	2790  	41.2% 
topic22	974.0 	5     	3663  	63.1% 
topic23	1003.0	5     	4000  	43.2% 
topic24	1357.0	8     	2770  	36.8% 
topic3 	872.0 	5     	3648  	74.6% 
topic4 	1154.0	9     	3740  	71.7% 
topic5 	1138.0	5     	3563  	74.6% 
topic6 	404.0 	7     	2877  	52.6% 
topic7 	794.0 	5     	2823  	56.2% 
topic8 	572.0 	4     	2303  	53.7% 
topic9 	617.0 	5     	2705  	65.7% 
Total Avg delay: 892.44 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	871.0 	7     	5485  	41.3% 
topic1 	1104.0	5     	5175  	73.8% 
topic10	816.0 	5     	5246  	75.0% 
topic11	313.0 	6     	2572  	66.0% 
topic12	821.0 	5     	5167  	75.8% 
topic13	947.0 	6     	5299  	77.7% 
topic14	1016.0	4     	5271  	61.6% 
topic15	503.0 	6     	2582  	47.6% 
topic16	956.0 	6     	5252  	70.7% 
topic17	430.0 	4     	2303  	50.1% 
topic18	1079.0	8     	5223  	76.6% 
topic19	727.0 	5     	2670  	51.9% 
topic2 	604.0 	4     	5151  	77.7% 
topic20	1288.0	7     	5234  	59.5% 
topic21	1059.0	5     	5264  	52.3% 
topic22	489.0 	6     	2633  	62.4% 
topic23	465.0 	5     	2033  	51.2% 
topic24	1329.0	11    	5441  	50.1% 
topic3 	549.0 	7     	2140  	73.4% 
topic4 	341.0 	6     	2105  	49.0% 
topic5 	531.0 	6     	2988  	35.1% 
topic6 	614.0 	7     	2339  	34.7% 
topic7 	1036.0	6     	5305  	59.3% 
topic8 	639.0 	6     	3094  	54.1% 
topic9 	628.0 	7     	2652  	96.6% 
Total Avg delay: 766.2 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	676.0 	5     	2540  	94.4% 
topic1 	663.0 	5     	3228  	82.6% 
topic10	1007.0	4     	3537  	87.0% 
topic11	1109.0	6     	3242  	87.8% 
topic12	1073.0	5     	3299  	86.5% 
topic13	958.0 	5     	3204  	89.3% 
topic14	1143.0	6     	2996  	79.3% 
topic15	1218.0	5     	3540  	85.8% 
topic16	665.0 	5     	2460  	81.1% 
topic17	728.0 	6     	3267  	87.4% 
topic18	885.0 	6     	3725  	23.5% 
topic19	1018.0	5     	3343  	83.6% 
topic2 	868.0 	4     	3290  	88.0% 
