Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	298.0 	2     	2303  	99.9% 
topic1 	679.0 	3     	3482  	100.0%
topic10	502.0 	3     	1755  	100.0%
topic11	194.0 	2     	2048  	100.0%
topic12	481.0 	2     	2064  	100.0%
topic13	465.0 	3     	3760  	100.0%
topic14	384.0 	2     	1976  	100.0%
topic15	217.0 	2     	1624  	100.0%
topic16	190.0 	2     	1262  	100.0%
topic17	448.0 	2     	2511  	100.0%
topic18	252.0 	2     	1976  	100.0%
topic19	188.0 	2     	2285  	100.0%
topic2 	419.0 	3     	2952  	100.0%
topic20	356.0 	2     	2041  	100.0%
topic21	231.0 	2     	2171  	100.0%
topic22	207.0 	2     	4025  	100.0%
topic23	269.0 	2     	2469  	100.0%
topic24	387.0 	3     	2443  	100.0%
topic25	394.0 	4     	2601  	100.0%
topic26	288.0 	2     	4152  	100.0%
topic27	536.0 	2     	3531  	100.0%
topic28	1876.0	3     	6138  	100.0%
topic29	1035.0	2     	4595  	100.0%
topic3 	1935.0	3     	4593  	100.0%
topic30	340.0 	2     	2639  	100.0%
topic31	227.0 	2     	1901  	100.0%
topic32	172.0 	2     	1563  	100.0%
topic33	1039.0	3     	5508  	100.0%
topic34	249.0 	3     	2632  	100.0%
topic35	421.0 	3     	2771  	100.0%
topic36	137.0 	2     	1856  	100.0%
topic37	1086.0	4     	2987  	100.0%
topic38	190.0 	2     	1565  	100.0%
topic39	315.0 	2     	2423  	100.0%
topic4 	237.0 	3     	2066  	100.0%
topic5 	355.0 	2     	1623  	100.0%
topic6 	620.0 	3     	2625  	100.0%
topic7 	277.0 	2     	1414  	100.0%
topic8 	814.0 	3     	3364  	100.0%
topic9 	670.0 	2     	3776  	100.0%
Total Avg delay: 484.5 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0 	657.0 	2     	2387  	99.9% 
topic1 	621.0 	2     	2405  	100.0%
topic10	133.0 	2     	1878  	100.0%
topic11	175.0 	2     	1823  	100.0%
topic12	188.0 	2     	1722  	100.0%
topic13	96.0  	2     	2017  	100.0%
topic14	183.0 	2     	1848  	100.0%
topic15	208.0 	2     	1867  	100.0%
topic16	1136.0	2     	4439  	100.0%
topic17	354.0 	2     	1756  	100.0%
topic18	764.0 	2     	3436  	100.0%
topic19	168.0 	2     	1541  	100.0%
topic2 	83.0  	2     	3040  	100.0%
topic20	701.0 	2     	2713  	100.0%
topic21	218.0 	2     	1814  	100.0%
topic22	972.0 	2     	5899  	100.0%
topic23	199.0 	2     	1935  	100.0%
topic24	147.0 	2     	1315  	100.0%
topic25	571.0 	2     	3476  	100.0%
topic26	138.0 	2     	2344  	100.0%
topic27	408.0 	2     	1637  	100.0%
topic28	204.0 	2     	2143  	100.0%
topic29	198.0 	2     	2298  	100.0%
topic3 	1447.0	3     	4555  	100.0%
topic30	214.0 	2     	1734  	100.0%
topic31	445.0 	2     	2211  	100.0%
topic32	155.0 	2     	2777  	100.0%
topic33	314.0 	2     	1736  	100.0%
topic34	583.0 	2     	2275  	100.0%
topic35	971.0 	3     	4240  	100.0%
topic36	195.0 	2     	1452  	100.0%
topic37	157.0 	2     	1672  	100.0%
topic38	264.0 	2     	1833  	100.0%
topic39	1447.0	2     	7868  	100.0%
