Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	3084.0	2851	3277	78.4%
topic1	3196.0	3123	3259	11.1%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	7228.0	7129	7391	39.2%
topic6	832.0	819	844	1.4%
topic7	7321.0	7294	7385	40.9%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	0	999999999	0	0.0%
topic13	0	999999999	0	0.0%
topic14	3301.0	3294	3312	12.8%
topic15	7387.0	7363	7412	22.2%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 4621.28571429 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1552.0	596	1912	90.7%
topic1	7938.0	7936	7943	4.1%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	7591.0	7294	7944	64.1%
topic5	0	999999999	0	0.0%
topic6	1745.0	525	1862	12.9%
topic7	7881.0	7843	7936	11.3%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	7784.0	7468	7976	22.8%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 5748.5 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	0	999999999	0	0.0%
topic1	8154.0	8122	8206	49.2%
topic2	1768.0	704	2100	27.5%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	0	999999999	0	0.0%
topic6	0	999999999	0	0.0%
topic7	0	999999999	0	0.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	1700.0	1525	1869	77.3%
topic13	0	999999999	0	0.0%
topic14	7863.0	7746	8205	53.1%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 4871.25 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	9096.0	8801	9334	61.1%
topic1	966.0	483	1222	100.0%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	0	999999999	0	0.0%
topic6	9226.0	8734	9335	41.2%
topic7	0	999999999	0	0.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	0	999999999	0	0.0%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 6429.33333333 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1531.0	576	1686	100.0%
topic1	0	999999999	0	0.0%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	0	999999999	0	0.0%
topic6	8482.0	8481	8484	1.4%
topic7	5655.0	5540	5765	100.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	8220.0	7877	8484	100.0%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	5763.0	5762	5765	2.3%
topic19	0	999999999	0	0.0%
Total Avg delay: 5930.2 ms
