Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	0	999999999	0	0.0%
topic1	0	999999999	0	0.0%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	0	999999999	0	0.0%
topic6	0	999999999	0	0.0%
topic7	0	999999999	0	0.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	1514.0	4	1945	100.0%
topic11	1910.0	1887	1933	21.5%
topic12	0	999999999	0	0.0%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 1712.0 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	3433.0	3294	3648	55.7%
topic1	0	999999999	0	0.0%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	96.0	21	441	1.2%
topic6	3189.0	420	3639	52.3%
topic7	0	999999999	0	0.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	0	999999999	0	0.0%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 2239.33333333 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	0	999999999	0	0.0%
topic1	0	999999999	0	0.0%
topic2	0	999999999	0	0.0%
topic3	2835.0	10	3615	19.8%
topic4	0	999999999	0	0.0%
topic5	3222.0	3009	3549	86.6%
topic6	0	999999999	0	0.0%
topic7	0	999999999	0	0.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	0	999999999	0	0.0%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 3028.5 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	0	999999999	0	0.0%
topic1	0	999999999	0	0.0%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	1930.0	11	2168	42.4%
topic6	0	999999999	0	0.0%
topic7	0	999999999	0	0.0%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	1996.0	1931	2105	62.4%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 1963.0 ms
Packet Loss: True
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1431.0	5	1723	55.2%
topic1	0	999999999	0	0.0%
topic2	0	999999999	0	0.0%
topic3	0	999999999	0	0.0%
topic4	0	999999999	0	0.0%
topic5	0	999999999	0	0.0%
topic6	0	999999999	0	0.0%
topic7	1751.0	1629	1890	99.2%
topic8	0	999999999	0	0.0%
topic9	0	999999999	0	0.0%
topic10	0	999999999	0	0.0%
topic11	0	999999999	0	0.0%
topic12	0	999999999	0	0.0%
topic13	0	999999999	0	0.0%
topic14	0	999999999	0	0.0%
topic15	0	999999999	0	0.0%
topic16	0	999999999	0	0.0%
topic17	0	999999999	0	0.0%
topic18	0	999999999	0	0.0%
topic19	0	999999999	0	0.0%
Total Avg delay: 1591.0 ms
