Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	395.0	191		502		100.0%
topic1	3692.0	3455	4017	100.0%
topic2	2506.0	1470	3241	100.0%
topic3	3849.0	3625	4101	100.0%
topic4	4621.0	4467	4980	100.0%
topic5	3763.0	3506	4018	100.0%
topic6	3548.0	3353	3861	100.0%
topic7	3518.0	3355	3790	100.0%
topic8	3703.0	3470	4028	100.0%
topic9	4300.0	4021	4528	100.0%
topic10	3616.0	3366	3999	100.0%
topic11	4359.0	4069	4510	100.0%
topic12	4574.0	4438	4983	100.0%
topic13	4148.0	3913	4502	100.0%
topic14	5236.0	4871	5455	100.0%
topic15	4697.0	4468	4993	100.0%
topic16	5180.0	4847	5438	100.0%
topic17	4735.0	4553	5004	100.0%
topic18	4261.0	4028	4506	100.0%
topic19	3529.0	3270	3771	100.0%
Total Avg delay: 3911.5 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1426.0	1229	1615	100.0%
topic1	1276.0	490		1366	100.0%
topic2	3503.0	3326	4003	100.0%
topic3	1683.0	1339	1805	100.0%
topic4	3844.0	3651	4021	100.0%
topic5	4283.0	3872	4554	100.0%
topic6	3772.0	3645	3927	100.0%
topic7	3245.0	3189	3324	100.0%
topic8	1795.0	1691	1849	100.0%
topic9	5054.0	4621	5396	100.0%
topic10	3725.0	3637	3892	100.0%
topic11	4281.0	3871	4550	100.0%
topic12	3475.0	3298	3620	100.0%
topic13	4311.0	3862	4629	100.0%
topic14	4965.0	4704	5181	100.0%
topic15	4286.0	3871	4554	100.0%
topic16	3766.0	3666	3944	100.0%
topic17	4892.0	4612	5082	100.0%
topic18	3456.0	3269	3668	100.0%
topic19	4986.0	4612	5205	100.0%
Total Avg delay: 3601.2 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	3766.0	3561	3932	100.0%
topic1	1449.0	1359	1534	100.0%
topic2	4108.0	3936	4317	100.0%
topic3	3498.0	3015	4030	100.0%
topic4	1318.0	668		1491	100.0%
topic5	3071.0	2875	3400	100.0%
topic6	2925.0	2782	3164	100.0%
topic7	1466.0	1378	1542	100.0%
topic8	1428.0	1362	1505	100.0%
topic9	3784.0	3069	4208	100.0%
topic10	1559.0	607		1698	100.0%
topic11	3114.0	2965	3436	100.0%
topic12	2898.0	2795	3105	100.0%
topic13	3563.0	3367	3838	100.0%
topic14	4112.0	3912	4305	100.0%
topic15	2947.0	2812	3128	100.0%
topic16	2897.0	2815	3056	100.0%
topic17	3982.0	3662	4218	100.0%
topic18	3544.0	3372	3812	100.0%
topic19	3556.0	2821	3941	100.0%
Total Avg delay: 2949.25 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	677.0	278	1338	100.0%
topic1	5327.0	4935	5629	100.0%
topic2	5034.0	4696	5381	100.0%
topic3	6673.0	6342	7118	100.0%
topic4	6217.0	5781	6860	100.0%
topic5	4495.0	4280	4846	100.0%
topic6	4650.0	4409	4925	100.0%
topic7	6200.0	5936	6659	100.0%
topic8	5650.0	4704	6626	100.0%
topic9	6511.0	6281	6887	100.0%
topic10	5731.0	5317	6198	100.0%
topic11	6813.0	6360	7447	100.0%
topic12	4979.0	4298	5279	100.0%
topic13	4958.0	4666	5372	100.0%
topic14	6195.0	5782	6870	100.0%
topic15	4748.0	4524	4954	100.0%
topic16	5657.0	5181	6245	100.0%
topic17	5971.0	5641	6381	100.0%
topic18	6907.0	6379	7507	100.0%
topic19	6776.0	6397	7440	100.0%
Total Avg delay: 5508.45 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	2588.0	2404	2738	100.0%
topic1	3104.0	3025	3180	100.0%
topic2	2871.0	2744	2994	100.0%
topic3	2602.0	2440	2757	100.0%
topic4	3122.0	3066	3195	100.0%
topic5	2054.0	684		2703	100.0%
topic6	2537.0	2398	2661	100.0%
topic7	2663.0	2478	2794	100.0%
topic8	2603.0	2461	2748	100.0%
topic9	3100.0	3051	3150	100.0%
topic10	2776.0	2608	2932	100.0%
topic11	2469.0	772		2734	100.0%
topic12	2879.0	2745	2991	100.0%
topic13	2779.0	2627	2888	100.0%
topic14	3095.0	3044	3198	100.0%
topic15	2791.0	2586	2974	100.0%
topic16	3286.0	3074	3565	100.0%
topic17	2997.0	2742	3130	100.0%
topic18	2738.0	2575	2892	100.0%
topic19	2987.0	2745	3112	100.0%
Total Avg delay: 2802.05 ms
