Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1734.0	59	1974	100.0%
topic1	3358.0	2999	3487	100.0%
topic2	2287.0	2069	2909	100.0%
topic3	1846.0	60	2056	100.0%
topic4	1779.0	1650	1982	100.0%
topic5	3464.0	3031	3627	100.0%
topic6	1786.0	1670	1952	100.0%
topic7	2501.0	2330	2690	100.0%
topic8	2966.0	2566	3357	100.0%
topic9	2817.0	2579	3004	100.0%
topic10	2597.0	2435	2758	100.0%
topic11	3999.0	3793	4120	100.0%
topic12	3509.0	3074	3678	100.0%
topic13	1810.0	1657	1982	100.0%
topic14	3449.0	3036	3600	100.0%
topic15	3465.0	3030	3616	100.0%
topic16	2786.0	2578	2968	100.0%
topic17	3548.0	3080	3663	100.0%
topic18	3982.0	3780	4114	100.0%
topic19	3904.0	3736	4150	100.0%
Total Avg delay: 2879.35 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	3970.0	3828	3994	100.0%
topic1	4138.0	3659	4323	100.0%
topic2	4135.0	3668	4321	100.0%
topic3	814.0	45	1079	100.0%
topic4	4438.0	4300	4688	100.0%
topic5	3986.0	3819	4017	100.0%
topic6	4170.0	3690	4360	100.0%
topic7	4507.0	4310	4777	100.0%
topic8	1058.0	710	1180	100.0%
topic9	4439.0	3543	4718	100.0%
topic10	4968.0	4837	5158	100.0%
topic11	4975.0	4819	5233	100.0%
topic12	4992.0	4857	5195	100.0%
topic13	5311.0	5175	5602	100.0%
topic14	1131.0	974	1210	100.0%
topic15	4859.0	4489	5193	100.0%
topic16	5228.0	4943	5387	100.0%
topic17	4080.0	3646	4269	100.0%
topic18	4463.0	4253	4723	100.0%
topic19	5340.0	5189	5614	100.0%
Total Avg delay: 4050.1 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	395.0	2	524	100.0%
topic1	4275.0	3759	4457	100.0%
topic2	4841.0	4618	5091	100.0%
topic3	4933.0	4809	5135	100.0%
topic4	4230.0	3736	4533	100.0%
topic5	3710.0	3620	3835	100.0%
topic6	4449.0	3881	4759	100.0%
topic7	4365.0	3874	4509	100.0%
topic8	3555.0	3177	3834	100.0%
topic9	3623.0	3259	3834	100.0%
topic10	4122.0	3768	4318	100.0%
topic11	4337.0	3901	4505	100.0%
topic12	5226.0	5007	5529	100.0%
topic13	4260.0	3700	4626	100.0%
topic14	5220.0	5009	5505	100.0%
topic15	4698.0	4440	5107	100.0%
topic16	4215.0	3763	4508	100.0%
topic17	5212.0	5027	5519	100.0%
topic18	4698.0	4473	5026	100.0%
topic19	5336.0	5170	5492	100.0%
Total Avg delay: 4285.0 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1614.0	1	1804	100.0%
topic1	4230.0	4034	4529	100.0%
topic2	3331.0	2856	3460	100.0%
topic3	3290.0	2875	3455	100.0%
topic4	5234.0	5085	5361	100.0%
topic5	4398.0	4139	4602	100.0%
topic6	5328.0	5098	5475	100.0%
topic7	1587.0	1422	1719	100.0%
topic8	3307.0	2887	3480	100.0%
topic9	4165.0	3966	4510	100.0%
topic10	1611.0	1388	1733	100.0%
topic11	3244.0	2939	3458	100.0%
topic12	4410.0	4259	4617	100.0%
topic13	3310.0	2958	3820	100.0%
topic14	1525.0	1351	1637	100.0%
topic15	4530.0	2836	5358	100.0%
topic16	5303.0	5080	5485	100.0%
topic17	3325.0	2861	3460	100.0%
topic18	4624.0	2832	5161	100.0%
topic19	3222.0	2912	3473	100.0%
Total Avg delay: 3579.4 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	586.0	2	831	100.0%
topic1	5440.0	5313	5492	100.0%
topic2	6574.0	6256	6810	100.0%
topic3	6650.0	6419	6914	100.0%
topic4	7468.0	7228	7865	100.0%
topic5	6588.0	6175	6842	100.0%
topic6	5429.0	5280	5502	100.0%
topic7	6519.0	6318	6829	100.0%
topic8	6277.0	5931	6611	100.0%
topic9	7017.0	6665	7293	100.0%
topic10	6795.0	6738	6831	100.0%
topic11	7813.0	7375	8236	100.0%
topic12	7149.0	6749	7402	100.0%
topic13	7730.0	7417	7939	100.0%
topic14	7597.0	7304	7908	100.0%
topic15	7603.0	7220	7897	100.0%
topic16	6359.0	6039	6684	100.0%
topic17	6618.0	6326	7003	100.0%
topic18	6942.0	6666	7265	100.0%
topic19	7145.0	7013	7445	100.0%
Total Avg delay: 6514.95 ms
