Mosca server is up and running
CLIENT_CONN mqttjs_6c5cc19a {} 1462745482106
CLIENT_CONN mqttjs_31eceb96 {} 1462745482110
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_6c5cc19a 1462745482114
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_31eceb96 1462745482114
CLIENT_CONN mqttjs_2bcab3d6 {} 1462745482117
CLIENT_CONN mqttjs_acf253e1 {} 1462745482119
CLIENT_CONN mqttjs_f27e8d74 {} 1462745482120
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_2bcab3d6 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_acf253e1 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_f27e8d74 1462745482122
CLIENT_CONN mqttjs_349b87ff {} 1462745482122
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_349b87ff 1462745482126
CLIENT_CONN mqttjs_7d8ecead {} 1462745482127
CLIENT_SUB topic8 mqttjs_31eceb96 1462745482129
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_7d8ecead 1462745482130
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_31eceb96","topic":"topic8"} 1462745482130
CLIENT_SUB topic7 mqttjs_2bcab3d6 1462745482133
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_2bcab3d6","topic":"topic7"} 1462745482134
CLIENT_SUB topic5 mqttjs_7d8ecead 1462745482151
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_7d8ecead","topic":"topic5"} 1462745482152
CLIENT_CONN mqttjs_24ee253d {} 1462745482153
CLIENT_SUB topic4 mqttjs_349b87ff 1462745482154
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_24ee253d 1462745482155
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_349b87ff","topic":"topic4"} 1462745482155
CLIENT_CONN mqttjs_78206f1e {} 1462745482158
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_78206f1e 1462745482158
CLIENT_SUB topic1 mqttjs_6c5cc19a 1462745482160
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_6c5cc19a","topic":"topic1"} 1462745482161
CLIENT_SUB topic10 mqttjs_78206f1e 1462745482177
CLIENT_SUB topic2 mqttjs_24ee253d 1462745482177
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_78206f1e","topic":"topic10"} 1462745482178
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_24ee253d","topic":"topic2"} 1462745482178
CLIENT_SUB topic6 mqttjs_acf253e1 1462745482181
CLIENT_CONN mqttjs_540009fd {} 1462745482182
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_acf253e1","topic":"topic6"} 1462745482183
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_540009fd 1462745482183
CLIENT_SUB topic3 mqttjs_f27e8d74 1462745482187
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_f27e8d74","topic":"topic3"} 1462745482189
CLIENT_SUB topic9 mqttjs_540009fd 1462745482196
CLIENT_ACTION $SYS/r1AtFV6Z/new/subscribes {"clientId":"mqttjs_540009fd","topic":"topic9"} 1462745482196
CLIENT_CONN mqttjs_4d875264 {} 1462745487232
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_4d875264 1462745487232
CLIENT_CONN mqttjs_f9150986 {} 1462745487239
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_f9150986 1462745487240
CLIENT_CONN mqttjs_dc449e43 {} 1462745487241
CLIENT_ACTION $SYS/r1AtFV6Z/new/clients mqttjs_dc449e43 1462745487241
CLIENT_PUB 39273 0 0 1462745487258
CLIENT_PUB 39273 1 1 1462745487258
CLIENT_PUB 39273 2 2 1462745487259
CLIENT_PUB 39273 3 3 1462745487416
CLIENT_PUB 39273 4 4 1462745487416
CLIENT_PUB 39273 5 5 1462745487417
CLIENT_PUB 39273 6 6 1462745487417
CLIENT_PUB 39273 7 7 1462745487417
CLIENT_PUB 39273 8 8 1462745487417
CLIENT_PUB 39273 9 9 1462745487417
CLIENT_PUB 39273 10 10 1462745487417
CLIENT_PUB 39273 11 11 1462745487417
CLIENT_PUB 39273 12 12 1462745487417
CLIENT_PUB 39273 13 13 1462745487417
CLIENT_PUB 39273 14 14 1462745487417
CLIENT_PUB 39273 15 15 1462745487417
CLIENT_PUB 39273 16 16 1462745487417
CLIENT_PUB 39273 17 17 1462745487417
CLIENT_PUB 39273 18 18 1462745487417
CLIENT_PUB 39273 19 19 1462745487417
CLIENT_PUB 39273 20 20 1462745487417
CLIENT_PUB 39273 21 21 1462745487417
CLIENT_PUB 39273 22 22 1462745487418
CLIENT_PUB 39273 23 23 1462745487418
CLIENT_PUB 39273 24 24 1462745487418
CLIENT_PUB 39273 25 25 1462745487418
CLIENT_PUB 39273 26 26 1462745487418
CLIENT_PUB 39273 27 27 1462745487418
CLIENT_PUB 39273 28 28 1462745487418
CLIENT_PUB 39273 29 29 1462745487418
CLIENT_PUB 39273 30 30 1462745487418
CLIENT_PUB 39273 31 31 1462745487418
CLIENT_PUB 39273 32 32 1462745487418
CLIENT_PUB 39273 33 33 1462745487418
CLIENT_PUB 39273 34 34 1462745487418
CLIENT_PUB 39273 35 35 1462745487418
CLIENT_PUB 39273 36 36 1462745487418
CLIENT_PUB 39273 37 37 1462745487418
CLIENT_PUB 39273 38 38 1462745487418
CLIENT_PUB 39273 39 39 1462745487418
CLIENT_PUB 39273 40 40 1462745487418
CLIENT_PUB 39273 41 41 1462745487419
CLIENT_PUB 39273 42 42 1462745487419
CLIENT_PUB 39273 43 43 1462745487419
CLIENT_PUB 39273 44 44 1462745487419
CLIENT_PUB 39273 45 45 1462745487419
CLIENT_PUB 39273 46 46 1462745487419
CLIENT_PUB 39273 47 47 1462745487419
CLIENT_PUB 39273 48 48 1462745487419
CLIENT_PUB 39273 49 49 1462745487419
CLIENT_PUB 39273 50 50 1462745487420
CLIENT_PUB 39273 51 51 1462745487420
CLIENT_PUB 39273 52 52 1462745487420
CLIENT_PUB 39273 53 53 1462745487420
CLIENT_PUB 39273 54 54 1462745487420
CLIENT_PUB 39273 55 55 1462745487420
CLIENT_PUB 39273 56 56 1462745487420
CLIENT_PUB 39273 57 57 1462745487420
CLIENT_PUB 39273 58 58 1462745487420
CLIENT_PUB 39273 59 59 1462745487420
CLIENT_PUB 39273 60 60 1462745487420
CLIENT_PUB 39273 61 61 1462745487420
CLIENT_PUB 39273 62 62 1462745487420
CLIENT_PUB 39273 63 63 1462745487420
CLIENT_PUB 39273 64 64 1462745487420
CLIENT_PUB 39273 65 65 1462745487420
CLIENT_PUB 39273 66 66 1462745487420
CLIENT_PUB 39273 67 67 1462745487420
CLIENT_PUB 39273 68 68 1462745487420
CLIENT_PUB 39273 69 69 1462745487420
CLIENT_PUB 39273 70 70 1462745487420
CLIENT_PUB 39273 71 71 1462745487421
CLIENT_PUB 39273 72 72 1462745487421
CLIENT_PUB 39273 73 73 1462745487421
CLIENT_PUB 39273 74 74 1462745487421
CLIENT_PUB 39273 75 75 1462745487422
CLIENT_PUB 39273 76 76 1462745487422
CLIENT_PUB 39273 77 77 1462745487422
CLIENT_PUB 39273 78 78 1462745487422
CLIENT_PUB 39273 79 79 1462745487422
CLIENT_PUB 39273 80 80 1462745487422
CLIENT_PUB 39273 81 81 1462745487422
CLIENT_PUB 39273 82 82 1462745487423
CLIENT_PUB 39273 83 83 1462745487423
CLIENT_PUB 39273 84 84 1462745487423
CLIENT_PUB 39273 85 85 1462745487424
