Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	906.0	483	1335	100.0%
topic1	1078.0	545	1670	100.0%
topic2	1082.0	648	1569	100.0%
topic3	936.0	421	1515	100.0%
topic4	1143.0	802	1557	100.0%
topic5	990.0	513	1484	100.0%
topic6	986.0	557	1662	100.0%
topic7	966.0	633	1437	100.0%
topic8	951.0	555	1423	100.0%
topic9	981.0	788	1311	100.0%
topic10	1035.0	636	1473	100.0%
topic11	1131.0	722	1634	100.0%
topic12	1083.0	830	1323	100.0%
topic13	1032.0	543	1502	100.0%
topic14	849.0	352	1238	100.0%
topic15	948.0	500	1536	100.0%
topic16	931.0	389	1378	100.0%
topic17	1001.0	638	1346	100.0%
topic18	1023.0	616	1467	100.0%
topic19	1027.0	708	1551	100.0%
Total Avg delay: 1003.95 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1023.0	569	1533	100.0%
topic1	971.0	660	1403	100.0%
topic2	1066.0	767	1471	100.0%
topic3	1044.0	780	1458	100.0%
topic4	978.0	553	1369	100.0%
topic5	948.0	605	1322	100.0%
topic6	1224.0	913	1606	100.0%
topic7	1061.0	672	1543	100.0%
topic8	1138.0	780	1489	100.0%
topic9	1035.0	744	1457	100.0%
topic10	1052.0	660	1557	100.0%
topic11	923.0	493	1420	100.0%
topic12	900.0	508	1492	100.0%
topic13	1060.0	562	1581	100.0%
topic14	1035.0	599	1361	100.0%
topic15	780.0	346	1300	100.0%
topic16	1027.0	646	1371	100.0%
topic17	916.0	497	1382	100.0%
topic18	1050.0	722	1462	100.0%
topic19	1103.0	681	1750	100.0%
Total Avg delay: 1016.7 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1059.0	688	1495	100.0%
topic1	1082.0	675	1339	100.0%
topic2	1211.0	619	2008	100.0%
topic3	1008.0	455	1807	100.0%
topic4	1157.0	693	1442	100.0%
topic5	1196.0	604	1669	100.0%
topic6	938.0	529	1393	100.0%
topic7	1222.0	792	1671	100.0%
topic8	1452.0	884	2094	100.0%
topic9	1200.0	665	1845	100.0%
topic10	1278.0	809	1626	100.0%
topic11	1189.0	645	1546	100.0%
topic12	1365.0	926	1937	100.0%
topic13	1363.0	931	1824	100.0%
topic14	1269.0	764	1683	100.0%
topic15	1053.0	524	1549	100.0%
topic16	1169.0	557	1808	100.0%
topic17	1152.0	731	1612	100.0%
topic18	1290.0	947	1603	100.0%
topic19	1045.0	674	1363	100.0%
Total Avg delay: 1184.9 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1092.0	685	1624	100.0%
topic1	1009.0	494	1810	100.0%
topic2	1032.0	573	1510	100.0%
topic3	1056.0	589	1634	100.0%
topic4	1290.0	675	1944	100.0%
topic5	1062.0	643	1511	100.0%
topic6	1139.0	793	1568	100.0%
topic7	1187.0	758	1547	100.0%
topic8	1066.0	460	1793	100.0%
topic9	1175.0	445	1906	100.0%
topic10	1150.0	635	1730	100.0%
topic11	1180.0	701	1723	100.0%
topic12	991.0	464	1573	100.0%
topic13	1236.0	994	1677	100.0%
topic14	1181.0	674	1753	100.0%
topic15	1016.0	530	1602	100.0%
topic16	1142.0	703	1845	100.0%
topic17	983.0	623	1500	100.0%
topic18	1117.0	464	1856	100.0%
topic19	1160.0	680	1633	100.0%
Total Avg delay: 1113.2 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1004.0	681	1465	100.0%
topic1	983.0	644	1445	100.0%
topic2	977.0	595	1514	100.0%
topic3	860.0	399	1420	100.0%
topic4	1038.0	629	1440	100.0%
topic5	930.0	563	1380	100.0%
topic6	957.0	563	1327	100.0%
topic7	914.0	643	1239	100.0%
topic8	948.0	448	1470	100.0%
topic9	1011.0	759	1461	100.0%
topic10	933.0	490	1363	100.0%
topic11	1003.0	585	1302	100.0%
topic12	1013.0	658	1433	100.0%
topic13	1098.0	776	1582	100.0%
topic14	920.0	439	1402	100.0%
topic15	985.0	573	1399	100.0%
topic16	884.0	467	1363	100.0%
topic17	1023.0	659	1486	100.0%
topic18	1020.0	577	1492	100.0%
topic19	1028.0	578	1407	100.0%
Total Avg delay: 976.45 ms
