Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1348.0	128	1819	100.0%
topic1	1265.0	0	2072	100.0%
topic2	1093.0	3	1487	100.0%
topic3	1235.0	0	1942	100.0%
topic4	1298.0	0	1898	100.0%
topic5	1628.0	99	2427	100.0%
topic6	1388.0	9	1884	100.0%
topic7	1543.0	271	2067	100.0%
topic8	1263.0	0	2002	100.0%
topic9	1215.0	28	1517	100.0%
topic10	1364.0	0	2296	100.0%
topic11	929.0	14	1478	100.0%
topic12	1257.0	0	1705	100.0%
topic13	1511.0	39	2205	100.0%
topic14	1032.0	94	1638	100.0%
topic15	1421.0	103	1837	100.0%
topic16	1145.0	106	1798	100.0%
topic17	1393.0	9	1744	100.0%
topic18	914.0	15	1463	100.0%
topic19	1185.0	260	1521	100.0%
Total Avg delay: 1271.35 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1740.0	253	2353	100.0%
topic1	1396.0	0	2009	100.0%
topic2	1468.0	202	1960	100.0%
topic3	1109.0	9	1727	100.0%
topic4	1730.0	0	2401	100.0%
topic5	1631.0	0	2390	100.0%
topic6	1447.0	0	2057	100.0%
topic7	993.0	0	1959	100.0%
topic8	1607.0	1	2078	100.0%
topic9	1434.0	12	1917	100.0%
topic10	1626.0	0	2505	100.0%
topic11	1397.0	0	2133	100.0%
topic12	1526.0	0	2382	100.0%
topic13	1525.0	150	2070	100.0%
topic14	1566.0	0	2100	100.0%
topic15	1010.0	0	1758	100.0%
topic16	1448.0	190	2082	100.0%
topic17	1373.0	5	1936	100.0%
topic18	1316.0	194	1770	100.0%
topic19	1619.0	0	2152	100.0%
Total Avg delay: 1448.05 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1160.0	0	1761	100.0%
topic1	1240.0	169	1916	100.0%
topic2	1331.0	0	2227	100.0%
topic3	1269.0	0	1793	100.0%
topic4	1367.0	86	1965	100.0%
topic5	1428.0	0	2218	100.0%
topic6	1348.0	0	1906	100.0%
topic7	1297.0	0	2231	100.0%
topic8	1303.0	134	1905	100.0%
topic9	1228.0	24	1825	100.0%
topic10	1464.0	0	2447	100.0%
topic11	1104.0	0	1870	100.0%
topic12	1095.0	0	1921	100.0%
topic13	1383.0	0	2452	100.0%
topic14	1144.0	33	1707	100.0%
topic15	1629.0	0	2498	100.0%
topic16	1284.0	143	2220	100.0%
topic17	1231.0	14	1840	100.0%
topic18	1501.0	160	1935	100.0%
topic19	1554.0	158	1980	100.0%
Total Avg delay: 1318.0 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1274.0	27	1883	100.0%
topic1	918.0	0	1424	100.0%
topic2	1313.0	42	1896	100.0%
topic3	1047.0	8	1506	100.0%
topic4	1187.0	0	1847	100.0%
topic5	1194.0	36	1689	100.0%
topic6	1058.0	0	1696	100.0%
topic7	1149.0	0	1814	100.0%
topic8	899.0	0	1488	100.0%
topic9	1076.0	113	1463	100.0%
topic10	1230.0	0	1863	100.0%
topic11	1253.0	122	1629	100.0%
topic12	1397.0	126	1821	100.0%
topic13	1104.0	0	1572	100.0%
topic14	956.0	54	1496	100.0%
topic15	1165.0	22	1493	100.0%
topic16	1531.0	138	2138	100.0%
topic17	983.0	46	1503	100.0%
topic18	1141.0	28	1685	100.0%
topic19	1243.0	109	1694	100.0%
Total Avg delay: 1155.9 ms
Packet Loss: False
topic	avg(ms)	min(ms)	max(ms)	percent
topic0	1429.0	0	2149	100.0%
topic1	1249.0	221	1763	100.0%
topic2	816.0	0	1320	100.0%
topic3	958.0	0	1595	100.0%
topic4	1263.0	202	1683	100.0%
topic5	917.0	25	1287	100.0%
topic6	1340.0	193	1916	100.0%
topic7	1362.0	207	1916	100.0%
topic8	1739.0	143	2632	100.0%
topic9	1067.0	0	1757	100.0%
topic10	1558.0	128	2076	100.0%
topic11	1024.0	4	1484	100.0%
topic12	1264.0	100	1780	100.0%
topic13	1166.0	0	1875	100.0%
topic14	1251.0	63	1742	100.0%
topic15	1329.0	168	1894	100.0%
topic16	1145.0	168	1524	100.0%
topic17	1163.0	98	1640	100.0%
topic18	875.0	0	1381	100.0%
topic19	1527.0	56	2125	100.0%
Total Avg delay: 1222.1 ms
